1,The Most Wanted Parfum,Azzaro,The Most Wanted Parfum,89.99,https://scenthood.s3.us-east-2.amazonaws.com/Azzaro_theMost_wanted_parfum.jpg,20
2,Bvlgari Man In Black,Bvlgari,"Bvlgari Man In Black by Bvlgari is a Amber Floral fragrance for men. Bvlgari Man In Black was launched in 2014. The nose behind this fragrance is Alberto Morillas. Top notes are Spices, Rum and Tobacco; middle notes are Leather, Iris and Tuberose; base notes are Tonka Bean, Guaiac Wood and Benzoin.",119.99,https://scenthood.s3.us-east-2.amazonaws.com/Bvlgari+Man+In+Black+Bvlgari.jpg,20
2,Bvlgari Man Wood Essence,Bvlgari,"Bvlgari Man Wood Essence by Bvlgari is a Woody fragrance for men. Bvlgari Man Wood Essence was launched in 2018. The nose behind this fragrance is Alberto Morillas. Top notes are citruses with sugar, Lemon Zest and Coriander Leaf; middle notes are Cypress, Cedar and Vetiver; base note is Benzoin.",69.99,https://scenthood.s3.us-east-2.amazonaws.com/Bvlgari_wood_essence.jpg,20
3,Allure Homme,Chanel,"Allure Homme by Chanel is a Amber Woody fragrance for men. Allure Homme was launched in 1999. The nose behind this fragrance is Jacques Polge. Top notes are Lemon, Peach, Ginger, Mandarin Orange, Lavender and Bergamot; middle notes are Pepper, Cedar, Patchouli, Vetiver, Brazilian Rosewood, Rose, Jasmine, Gardenia, Anise and Freesia; base notes are Vanilla, Tonka Bean, Sandalwood, Coconut, Amber, Benzoin, Musk, Leather and Oakmoss.",109.99,https://scenthood.s3.us-east-2.amazonaws.com/allure_homme.jpg,20
3,Allure Homme Edition Blanche Eau de Parfum,Chanel,Allure Homme Edition Blanche Eau de Parfum by Chanel is a Amber Woody fragrance for men. Allure Homme Edition Blanche Eau de Parfum was launched in 2014. Top notes are Lemon and Bergamot; middle notes are Sandalwood and Woody Notes; base notes are Madagascar Vanilla and Vetiver.,109.99,https://scenthood.s3.us-east-2.amazonaws.com/edition_blance.jpg,20
4,Dior Homme 2020 Dior,Dior,"Dior Homme 2020 by Dior is a Woody fragrance for men. Dior Homme 2020 was launched in 2020. The nose behind this fragrance is François Demachy. Top notes are Bergamot, Pink Pepper and elemi; middle notes are Cashmere Wood, Atlas Cedar and Patchouli; base notes are Iso E Super, Haitian Vetiver and White Musk.",89.99,https://scenthood.s3.us-east-2.amazonaws.com/dior_homme_2020.jpg,20
4,Dior Homme Intense,Dior,"Dior Homme Intense 2011 by Dior is a Woody Floral Musk fragrance for men. Dior Homme Intense 2011 was launched in 2011. The nose behind this fragrance is François Demachy. Top note is Lavender; middle notes are Iris, Ambrette (Musk Mallow) and Pear; base notes are Virginia Cedar and Vetiver.",89.99,https://scenthood.s3.us-east-2.amazonaws.com/dior_hi.jpg,100
4,Dior Homme Original,Dior,Dior Homme Original by Dior is a Aromatic fragrance for men. Dior Homme Original was launched in 2021. The nose behind this fragrance is François Demachy. Top note is Tuscan Iris; middle note is Guatemalan Cardamom; base note is Vetiver.,120.99,https://scenthood.s3.us-east-2.amazonaws.com/dior_homme_original.jpg,100
4,Eau Sauvage Parfum,Dior,"Eau Sauvage Parfum by Dior is a Citrus Aromatic fragrance for men. Eau Sauvage Parfum was launched in 2012. The nose behind this fragrance is François Demachy. Top notes are Bergamot, Citron and Petitgrain; middle notes are Vetiver, Lavender and Hedione; base notes are Myrrh, Patchouli and Oakmoss.",99.99,https://scenthood.s3.us-east-2.amazonaws.com/dior_eau_sauvage_parfum.jpg,100
4,Fahrenheit Le Parfum,Dior,"Fahrenheit Le Parfum by Dior is a Amber Spicy fragrance for men. Fahrenheit Le Parfum was launched in 2014. The nose behind this fragrance is François Demachy. Top notes are Suede, Licorice and Sicilian Mandarin; middle notes are Violet Leaf, Rum, Coriander and Cumin; base note is Bourbon Vanilla.",129.99,https://scenthood.s3.us-east-2.amazonaws.com/fahrenhait.jpg,100
4,Sauvage,Dior,"Sauvage by Dior is a Aromatic Fougere fragrance for men. Sauvage was launched in 2015. The nose behind this fragrance is François Demachy. Top notes are Calabrian bergamot and Pepper; middle notes are Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Patchouli, Geranium and elemi; base notes are Ambroxan, Cedar and Labdanum.",79.99,https://scenthood.s3.us-east-2.amazonaws.com/Dior_Sauvage.jpg,100
5,Light Blue Forever pour Homme,Dolce&Gabbana,"Light Blue Forever pour Homme by Dolce&Gabbana is a Woody Aquatic fragrance for men. Light Blue Forever pour Homme was launched in 2021. The nose behind this fragrance is Shyamala Maisondieu. Top notes are Grapefruit and Bergamot; middle notes are Ozonic notes and Violet Leaf; base notes are Java vetiver oil, White Musk and Patchouli.",59.99,https://scenthood.s3.us-east-2.amazonaws.com/light_blue.jpg,100
5,The One for Men,Dolce&Gabbana,"The One for Men by Dolce&Gabbana is a Woody Spicy fragrance for men. The One for Men was launched in 2008. The nose behind this fragrance is Olivier Polge. Top notes are Grapefruit, Coriander and Basil; middle notes are Ginger, Cardamom and Orange Blossom; base notes are Amber, Tobacco and Cedar.",59.99,https://scenthood.s3.us-east-2.amazonaws.com/the_one_edt.jpg,100
5,The One for Men Eau de Parfum,Dolce&Gabbana,"The One for Men Eau de Parfum by Dolce&Gabbana is a Woody Spicy fragrance for men. The One for Men Eau de Parfum was launched in 2015. The nose behind this fragrance is Olivier Polge. Top notes are Grapefruit, Coriander and Basil; middle notes are Cardamom, Ginger and Orange Blossom; base notes are Amber, Tobacco and Cedar.",69.99,https://scenthood.s3.us-east-2.amazonaws.com/the_one_edp.jpg,100
6,Acqua di Giò Profondo,Giorgio Armani,"Acqua di Giò Profondo by Giorgio Armani is a Aromatic Fougere fragrance for men. Acqua di Giò Profondo was launched in 2020. The nose behind this fragrance is Alberto Morillas. Top notes are Sea Notes, Aquozone, Bergamot and Green Mandarin; middle notes are Rosemary, Lavender, Cypress and Mastic or Lentisque; base notes are Mineral notes, Musk, Patchouli and Amber.",89.7,https://scenthood.s3.us-east-2.amazonaws.com/profondo.jpg,100
